"","...1","...2","Subdistrict","Year","Density","CV","Area_km2","YE_abund"
"1",1,1,"CSEO",1994,"1683",0.1,1661,"2795463"
"2",2,2,"EYKT",1994,"#N/A",1,739,"#N/A"
"3",3,3,"NSEO",1994,"765",0.33,442,"338130"
"4",4,4,"SSEO",1994,"1173",0.29,1056,"1238688"
"5",5,5,"CSEO",1995,"2929",0.19,1661,"4865069"
"6",6,6,"EYKT",1995,"2711",0.2,739,"2003429"
"7",7,7,"NSEO",1995,"#N/A",1,442,"#N/A"
"8",8,8,"SSEO",1995,"#N/A",1,1056,"#N/A"
"9",9,9,"CSEO",1996,"#N/A",1,1661,"#N/A"
"10",10,10,"EYKT",1996,"#N/A",1,739,"#N/A"
"11",11,11,"NSEO",1996,"#N/A",1,442,"#N/A"
"12",12,12,"SSEO",1996,"#N/A",1,1056,"#N/A"
"13",13,13,"CSEO",1997,"1631",0.14,1661,"2709091"
"14",14,14,"EYKT",1997,"2576",0.28,739,"1903664"
"15",15,15,"NSEO",1997,"#N/A",1,442,"#N/A"
"16",16,16,"SSEO",1997,"#N/A",1,1056,"#N/A"
"17",17,17,"CSEO",1998,"#N/A",1,1661,"#N/A"
"18",18,18,"EYKT",1998,"#N/A",1,739,"#N/A"
"19",19,19,"NSEO",1998,"#N/A",1,442,"#N/A"
"20",20,20,"SSEO",1998,"#N/A",1,1056,"#N/A"
"21",21,21,"CSEO",1999,"#N/A",1,1661,"#N/A"
"22",22,22,"EYKT",1999,"1584",0.18,739,"1170576"
"23",23,23,"NSEO",1999,"#N/A",1,442,"#N/A"
"24",24,24,"SSEO",1999,"2376",0.2,1056,"2509056"
"25",25,25,"CSEO",2000,"#N/A",1,1661,"#N/A"
"26",26,26,"EYKT",2000,"#N/A",1,739,"#N/A"
"27",27,27,"NSEO",2000,"#N/A",1,442,"#N/A"
"28",28,28,"SSEO",2000,"#N/A",1,1056,"#N/A"
"29",29,29,"CSEO",2001,"#N/A",1,1661,"#N/A"
"30",30,30,"EYKT",2001,"#N/A",1,739,"#N/A"
"31",31,31,"NSEO",2001,"#N/A",1,442,"#N/A"
"32",32,32,"SSEO",2001,"#N/A",1,1056,"#N/A"
"33",33,33,"CSEO",2002,"#N/A",1,1661,"#N/A"
"34",34,34,"EYKT",2002,"#N/A",1,739,"#N/A"
"35",35,35,"NSEO",2002,"#N/A",1,442,"#N/A"
"36",36,36,"SSEO",2002,"#N/A",1,1056,"#N/A"
"37",37,37,"CSEO",2003,"1853",0.1,1661,"3077833"
"38",38,38,"EYKT",2003,"3825",0.17,739,"2826675"
"39",39,39,"NSEO",2003,"#N/A",1,442,"#N/A"
"40",40,40,"SSEO",2003,"#N/A",1,1056,"#N/A"
"41",41,41,"CSEO",2004,"#N/A",1,1661,"#N/A"
"42",42,42,"EYKT",2004,"#N/A",1,739,"#N/A"
"43",43,43,"NSEO",2004,"#N/A",1,442,"#N/A"
"44",44,44,"SSEO",2004,"#N/A",1,1056,"#N/A"
"45",45,45,"CSEO",2005,"#N/A",1,1661,"#N/A"
"46",46,46,"EYKT",2005,"#N/A",1,739,"#N/A"
"47",47,47,"NSEO",2005,"#N/A",1,442,"#N/A"
"48",48,48,"SSEO",2005,"2357",0.18,1056,"2488992"
"49",49,49,"CSEO",2006,"#N/A",1,1661,"#N/A"
"50",50,50,"EYKT",2006,"#N/A",1,739,"#N/A"
"51",51,51,"NSEO",2006,"#N/A",1,442,"#N/A"
"52",52,52,"SSEO",2006,"#N/A",1,1056,"#N/A"
"53",53,53,"CSEO",2007,"1050",0.12,1661,"1744050"
"54",54,54,"EYKT",2007,"#N/A",1,739,"#N/A"
"55",55,55,"NSEO",2007,"#N/A",1,442,"#N/A"
"56",56,56,"SSEO",2007,"#N/A",1,1056,"#N/A"
"57",57,57,"CSEO",2008,"#N/A",1,1661,"#N/A"
"58",58,58,"EYKT",2008,"#N/A",1,739,"#N/A"
"59",59,59,"NSEO",2008,"#N/A",1,442,"#N/A"
"60",60,60,"SSEO",2008,"#N/A",1,1056,"#N/A"
"61",61,61,"CSEO",2009,"#N/A",1,1661,"#N/A"
"62",62,62,"EYKT",2009,"1930",0.17,739,"1426270"
"63",63,63,"NSEO",2009,"#N/A",1,442,"#N/A"
"64",64,64,"SSEO",2009,"#N/A",1,1056,"#N/A"
"65",65,65,"CSEO",2010,"#N/A",1,1661,"#N/A"
"66",66,66,"EYKT",2010,"#N/A",1,739,"#N/A"
"67",67,67,"NSEO",2010,"#N/A",1,442,"#N/A"
"68",68,68,"SSEO",2010,"#N/A",1,1056,"#N/A"
"69",69,69,"CSEO",2011,"#N/A",1,1661,"#N/A"
"70",70,70,"EYKT",2011,"#N/A",1,739,"#N/A"
"71",71,71,"NSEO",2011,"#N/A",1,442,"#N/A"
"72",72,72,"SSEO",2011,"#N/A",1,1056,"#N/A"
"73",73,73,"CSEO",2012,"752",0.13,1661,"1249072"
"74",74,74,"EYKT",2012,"#N/A",1,739,"#N/A"
"75",75,75,"NSEO",2012,"#N/A",1,442,"#N/A"
"76",76,76,"SSEO",2012,"#N/A",1,1056,"#N/A"
