Year,Project,Project Code,Trip Number,ADFG Number,Vessel Name,Sample Date,Project Code,Groundfish Stat Area,Groundfish Stat Area Group,Groundfish Management Area Code,Sample Type Code,Sample Type,Specimen Number,Length Millimeters,Weight Kilograms,Age,Girth Millimeters,Species Code,Species,Length Type Code,Length Type,Age Readability Code,Age Readability,Sex Code,Maturity Code,Maturity
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,1,640,5.12,83,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,2,620,4.7,34,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,3,580,3.96,51,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,4,610,4.68,43,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,5,630,4.14,33,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,6,470,2.18,23,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,7,460,2.04,20,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,8,580,3.92,41,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,9,520,2.6,42,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,10,540,3.12,42,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,11,520,2.76,30,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,12,500,2.38,22,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,13,560,3.34,34,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,14,510,2.84,24,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,15,600,4.14,40,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,99,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,16,410,1.42,18,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,99,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,17,590,4.7,40,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,18,530,2.72,23,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,19,530,2.98,24,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,20,510,2.44,23,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,21,510,2.5,25,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,22,490,2.28,28,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,23,560,3.72,27,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,24,560,3.42,41,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,25,560,3.62,26,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,26,630,4.62,45,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
2011,Commercial Halibut Longline,621,9301,,,3/15/2011 0:00,621,365731,,NSEO,1,Random,27,610,5.1,96,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,,
