"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"1","r",0.024,0.025,0.002,0.016,0.092,FALSE,1,1.005,932
"2","K",45411.796,20993.494,24682.996,39635.795,111681.688,FALSE,1,1.018,1881
"3","sigma",0.075,0.051,0.02,0.056,0.207,FALSE,1,1,3000
"4","epsilon[1]",0.001,0.046,-0.088,0,0.091,TRUE,0.497,1,3000
"5","epsilon[2]",-0.001,0.045,-0.089,0,0.088,TRUE,0.503,1,3000
"6","epsilon[3]",0,0.046,-0.087,0,0.089,TRUE,0.5,1,3000
"7","epsilon[4]",-0.001,0.045,-0.088,-0.001,0.088,TRUE,0.505,1,3000
"8","epsilon[5]",0.002,0.045,-0.087,0.002,0.089,TRUE,0.515,1,3000
"9","epsilon[6]",0.002,0.046,-0.087,0.003,0.09,TRUE,0.527,1,3000
"10","epsilon[7]",0,0.045,-0.087,0.001,0.086,TRUE,0.508,1,3000
"11","epsilon[8]",0.001,0.045,-0.087,0.002,0.088,TRUE,0.514,1,3000
"12","epsilon[9]",0,0.045,-0.088,0,0.087,TRUE,0.5,1,2430
"13","epsilon[10]",0.002,0.045,-0.087,0.002,0.089,TRUE,0.521,1.001,1108
"14","epsilon[11]",-0.002,0.045,-0.09,-0.001,0.087,TRUE,0.509,1.001,1325
"15","epsilon[12]",0.001,0.046,-0.089,0,0.089,TRUE,0.497,1.001,1616
"16","epsilon[13]",0,0.046,-0.088,0.001,0.09,TRUE,0.504,1,3000
"17","epsilon[14]",0.001,0.045,-0.089,0.002,0.087,TRUE,0.519,1.001,1566
"18","epsilon[15]",0,0.044,-0.086,-0.001,0.089,TRUE,0.496,1,3000
"19","epsilon[16]",0.001,0.045,-0.086,0.002,0.089,TRUE,0.513,1,3000
"20","epsilon[17]",-0.001,0.045,-0.087,0,0.088,TRUE,0.505,1,2613
"21","epsilon[18]",-0.001,0.047,-0.09,-0.001,0.088,TRUE,0.509,1,3000
"22","epsilon[19]",0.001,0.045,-0.085,0,0.088,TRUE,0.501,1,3000
"23","epsilon[20]",0.002,0.045,-0.086,0,0.09,TRUE,0.504,1,3000
"24","epsilon[21]",0,0.046,-0.09,0.001,0.089,TRUE,0.496,1,3000
"25","epsilon[22]",0,0.045,-0.088,0,0.088,TRUE,0.505,1.001,1985
"26","epsilon[23]",0,0.046,-0.089,0,0.09,TRUE,0.499,1,3000
"27","epsilon[24]",0.001,0.045,-0.087,0.001,0.09,TRUE,0.506,1.001,1499
"28","epsilon[25]",0,0.045,-0.086,0,0.089,TRUE,0.501,1,3000
"29","epsilon[26]",0,0.046,-0.087,0,0.089,TRUE,0.496,1,2583
"30","epsilon[27]",0.001,0.044,-0.087,0.001,0.087,TRUE,0.51,1,3000
"31","epsilon[28]",0.001,0.045,-0.088,0.002,0.087,TRUE,0.515,1,3000
"32","epsilon[29]",0.001,0.045,-0.088,0.001,0.087,TRUE,0.51,1,3000
"33","epsilon[30]",0.002,0.044,-0.086,0.002,0.086,TRUE,0.517,1.001,2379
"34","epsilon[31]",0.002,0.045,-0.087,0.002,0.088,TRUE,0.518,1.001,3000
"35","epsilon[32]",0.001,0.045,-0.086,0,0.087,TRUE,0.499,1,3000
"36","epsilon[33]",0.002,0.045,-0.087,0.001,0.09,TRUE,0.51,1.001,1207
"37","epsilon[34]",0.001,0.046,-0.086,0.002,0.088,TRUE,0.513,1,3000
"38","epsilon[35]",0,0.045,-0.088,0,0.09,TRUE,0.503,1.001,1184
"39","epsilon[36]",0,0.045,-0.088,0,0.088,TRUE,0.498,1.001,1346
"40","epsilon[37]",0.001,0.045,-0.087,0.002,0.089,TRUE,0.516,1,3000
"41","epsilon[38]",0.003,0.045,-0.084,0.003,0.09,TRUE,0.524,1,3000
"42","epsilon[39]",0,0.045,-0.088,0,0.087,TRUE,0.497,1,3000
"43","epsilon[40]",-0.001,0.045,-0.09,-0.001,0.086,TRUE,0.511,1,3000
"44","epsilon[41]",0.001,0.046,-0.089,0.001,0.091,TRUE,0.504,1.001,3000
"45","epsilon[42]",0.001,0.045,-0.086,0,0.088,TRUE,0.504,1,3000
"46","epsilon[43]",0,0.045,-0.091,0,0.089,TRUE,0.492,1,3000
"47","epsilon[44]",0.001,0.046,-0.088,0.001,0.09,TRUE,0.509,1,3000
"48","epsilon[45]",0,0.045,-0.087,0,0.086,TRUE,0.496,1,3000
"49","epsilon[46]",0.001,0.045,-0.087,0.001,0.088,TRUE,0.508,1,3000
"50","epsilon[47]",0.001,0.045,-0.088,0.001,0.088,TRUE,0.511,1,3000
"51","epsilon[48]",0.001,0.046,-0.087,0.002,0.087,TRUE,0.519,1,3000
"52","epsilon[49]",0.001,0.045,-0.085,0,0.088,TRUE,0.5,1,3000
"53","epsilon[50]",0,0.045,-0.087,0,0.088,TRUE,0.499,1,2475
"54","epsilon[51]",0.001,0.046,-0.087,0,0.089,TRUE,0.498,1.001,2002
"55","epsilon[52]",0.001,0.045,-0.088,0.001,0.088,TRUE,0.507,1.001,2191
"56","epsilon[53]",0.001,0.046,-0.089,0.002,0.089,TRUE,0.518,1,2614
"57","epsilon[54]",0.001,0.045,-0.086,0.001,0.086,TRUE,0.508,1.001,2012
"58","epsilon[55]",0,0.045,-0.089,0,0.088,TRUE,0.494,1.001,1070
"59","epsilon[56]",0.002,0.045,-0.088,0.002,0.09,TRUE,0.521,1,3000
"60","epsilon[57]",0.002,0.046,-0.089,0.002,0.089,TRUE,0.521,1,3000
"61","epsilon[58]",0.002,0.044,-0.085,0.001,0.088,TRUE,0.513,1,3000
"62","epsilon[59]",0.002,0.045,-0.086,0.002,0.087,TRUE,0.515,1.001,3000
"63","epsilon[60]",0.001,0.045,-0.087,0.001,0.088,TRUE,0.511,1,3000
"64","epsilon[61]",0.002,0.045,-0.087,0.001,0.088,TRUE,0.515,1,3000
"65","epsilon[62]",0.003,0.044,-0.085,0.002,0.089,TRUE,0.521,1.001,1144
"66","epsilon[63]",0.001,0.046,-0.089,0,0.089,TRUE,0.504,1.001,3000
"67","epsilon[64]",0.003,0.045,-0.087,0.003,0.089,TRUE,0.52,1.001,1897
"68","epsilon[65]",0.001,0.045,-0.086,0.002,0.089,TRUE,0.512,1,3000
"69","epsilon[66]",0.001,0.045,-0.087,0.001,0.089,TRUE,0.505,1.001,1717
"70","epsilon[67]",0.003,0.045,-0.086,0.003,0.09,TRUE,0.526,1,3000
"71","epsilon[68]",0.003,0.045,-0.087,0.002,0.091,TRUE,0.521,1,3000
"72","epsilon[69]",0.002,0.046,-0.088,0.003,0.089,TRUE,0.531,1,3000
"73","epsilon[70]",0.001,0.045,-0.086,0.001,0.089,TRUE,0.506,1,3000
