"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"1","r",0.022,0.022,0.002,0.014,0.084,FALSE,1,1.013,404
"2","K",50083.947,22762.788,25626.772,43547.931,117641.901,FALSE,1,1.005,620
"3","sigma",0.077,0.05,0.021,0.059,0.204,FALSE,1,1.001,3000
"4","epsilon[1]",0.001,0.046,-0.089,0.002,0.09,TRUE,0.516,1,3000
"5","epsilon[2]",0.001,0.046,-0.088,0,0.089,TRUE,0.504,1,3000
"6","epsilon[3]",0.001,0.046,-0.088,0.001,0.088,TRUE,0.514,1,3000
"7","epsilon[4]",0,0.045,-0.087,-0.001,0.088,TRUE,0.512,1,3000
"8","epsilon[5]",0.001,0.046,-0.089,0.001,0.09,TRUE,0.507,1,3000
"9","epsilon[6]",0.001,0.045,-0.089,0.002,0.087,TRUE,0.512,1,3000
"10","epsilon[7]",0.002,0.046,-0.087,0.002,0.09,TRUE,0.517,1,3000
"11","epsilon[8]",0.001,0.045,-0.085,0.001,0.088,TRUE,0.509,1,3000
"12","epsilon[9]",0.001,0.046,-0.089,0,0.091,TRUE,0.504,1.001,1569
"13","epsilon[10]",0.001,0.046,-0.09,0.001,0.087,TRUE,0.512,1.001,1185
"14","epsilon[11]",0.001,0.047,-0.088,0.001,0.089,TRUE,0.506,1,3000
"15","epsilon[12]",0.001,0.045,-0.088,0,0.091,TRUE,0.5,1,3000
"16","epsilon[13]",0,0.045,-0.089,0.001,0.087,TRUE,0.506,1,3000
"17","epsilon[14]",0.002,0.046,-0.085,0.001,0.09,TRUE,0.511,1,3000
"18","epsilon[15]",0.001,0.046,-0.089,0.001,0.088,TRUE,0.506,1.001,1274
"19","epsilon[16]",0,0.046,-0.09,-0.001,0.088,TRUE,0.51,1,3000
"20","epsilon[17]",0,0.046,-0.089,0.001,0.089,TRUE,0.507,1.004,529
"21","epsilon[18]",0,0.046,-0.087,0,0.09,TRUE,0.494,1,3000
"22","epsilon[19]",0.001,0.046,-0.089,0.001,0.088,TRUE,0.51,1.001,1510
"23","epsilon[20]",0.001,0.046,-0.086,0.001,0.089,TRUE,0.505,1,3000
"24","epsilon[21]",0.001,0.046,-0.089,0.001,0.088,TRUE,0.507,1,3000
"25","epsilon[22]",0.003,0.046,-0.087,0.004,0.089,TRUE,0.524,1.002,862
"26","epsilon[23]",-0.001,0.047,-0.09,-0.001,0.09,TRUE,0.509,1,3000
"27","epsilon[24]",0.001,0.046,-0.087,0.001,0.091,TRUE,0.507,1,3000
"28","epsilon[25]",0.002,0.047,-0.087,0.003,0.09,TRUE,0.523,1.002,1375
"29","epsilon[26]",0,0.046,-0.088,0,0.089,TRUE,0.497,1.001,1455
"30","epsilon[27]",-0.002,0.045,-0.088,-0.002,0.088,TRUE,0.514,1,3000
"31","epsilon[28]",0.001,0.046,-0.088,0.001,0.09,TRUE,0.507,1,2495
"32","epsilon[29]",0.001,0.046,-0.086,0.002,0.089,TRUE,0.517,1,3000
"33","epsilon[30]",0.002,0.046,-0.088,0.002,0.09,TRUE,0.518,1.002,940
"34","epsilon[31]",0.001,0.046,-0.089,0.002,0.087,TRUE,0.517,1,3000
"35","epsilon[32]",0,0.045,-0.087,0,0.089,TRUE,0.501,1,3000
"36","epsilon[33]",0,0.045,-0.088,0.001,0.088,TRUE,0.505,1,2105
"37","epsilon[34]",0,0.045,-0.087,0,0.089,TRUE,0.499,1.002,930
"38","epsilon[35]",0.001,0.045,-0.087,0.001,0.089,TRUE,0.509,1,2506
"39","epsilon[36]",0.001,0.047,-0.089,0.001,0.09,TRUE,0.511,1.001,2917
"40","epsilon[37]",0.001,0.046,-0.087,0.001,0.088,TRUE,0.51,1,3000
"41","epsilon[38]",0.002,0.046,-0.087,0.003,0.089,TRUE,0.526,1.002,981
"42","epsilon[39]",0.001,0.046,-0.089,0,0.088,TRUE,0.5,1,3000
"43","epsilon[40]",0.001,0.046,-0.088,0.001,0.088,TRUE,0.512,1,3000
"44","epsilon[41]",0.002,0.047,-0.088,0.002,0.09,TRUE,0.522,1,3000
"45","epsilon[42]",0.001,0.046,-0.087,0.001,0.089,TRUE,0.508,1,3000
"46","epsilon[43]",0.002,0.046,-0.088,0.001,0.089,TRUE,0.513,1,3000
"47","epsilon[44]",0.002,0.046,-0.088,0.003,0.089,TRUE,0.524,1,3000
"48","epsilon[45]",0,0.046,-0.087,-0.001,0.09,TRUE,0.486,1,2887
"49","epsilon[46]",0,0.046,-0.087,0.001,0.089,TRUE,0.509,1,3000
"50","epsilon[47]",0.002,0.046,-0.089,0.002,0.09,TRUE,0.516,1.002,916
"51","epsilon[48]",0.001,0.045,-0.086,0.002,0.089,TRUE,0.52,1.001,1759
"52","epsilon[49]",0.001,0.046,-0.088,0.001,0.089,TRUE,0.511,1,3000
"53","epsilon[50]",0.002,0.046,-0.087,0.002,0.09,TRUE,0.511,1.001,2110
"54","epsilon[51]",0.002,0.046,-0.087,0.001,0.089,TRUE,0.512,1,3000
"55","epsilon[52]",0,0.045,-0.089,0.001,0.089,TRUE,0.507,1.001,2455
"56","epsilon[53]",0.002,0.046,-0.089,0.002,0.089,TRUE,0.515,1,3000
"57","epsilon[54]",0,0.046,-0.089,0.001,0.089,TRUE,0.497,1.001,2220
"58","epsilon[55]",0.001,0.046,-0.09,0.001,0.088,TRUE,0.518,1,3000
"59","epsilon[56]",0.002,0.047,-0.088,0.003,0.09,TRUE,0.524,1,3000
"60","epsilon[57]",0.001,0.045,-0.085,0.001,0.089,TRUE,0.505,1.001,1564
"61","epsilon[58]",0,0.046,-0.09,0.001,0.09,TRUE,0.512,1,3000
"62","epsilon[59]",0.002,0.046,-0.088,0.002,0.089,TRUE,0.516,1,3000
"63","epsilon[60]",0.002,0.046,-0.088,0.004,0.09,TRUE,0.539,1,3000
"64","epsilon[61]",0.001,0.046,-0.089,0.002,0.088,TRUE,0.514,1,3000
"65","epsilon[62]",0.001,0.046,-0.089,0,0.089,TRUE,0.497,1.001,1129
"66","epsilon[63]",0.001,0.045,-0.085,0.001,0.088,TRUE,0.515,1.003,630
"67","epsilon[64]",0.002,0.046,-0.09,0.002,0.092,TRUE,0.523,1,3000
"68","epsilon[65]",0.002,0.046,-0.087,0.004,0.088,TRUE,0.527,1,3000
"69","epsilon[66]",0.003,0.045,-0.086,0.002,0.091,TRUE,0.519,1.001,2341
"70","epsilon[67]",0.001,0.045,-0.087,0.001,0.087,TRUE,0.508,1.001,1906
"71","epsilon[68]",0.002,0.045,-0.085,0.002,0.089,TRUE,0.516,1.001,2135
"72","epsilon[69]",0.003,0.046,-0.085,0.002,0.09,TRUE,0.523,1.001,1750
"73","epsilon[70]",0.001,0.046,-0.089,0.001,0.089,TRUE,0.514,1,3000
"74","epsilon[71]",0.001,0.045,-0.087,0.001,0.088,TRUE,0.506,1,3000
