Year,Project Code,Project,Target Species Code,Trip No,Adfg No,Vessel Name,Trip Comments,Hook Size,Hook Spacing Inches,Longline System Code,Longline System,Otolith Number,Effort No,Station No,G Stat Area,Avg Depth Fathoms,Specimen No,Species,Species Code,Sample Type,Sex,Sex Code,Maturity,Maturity Code,Length Type Code,Length Type,Length Millimeters,Weight Kilograms,Age,Age Type,Age Readability,Age Readability Code,Discard Status,Release Condition,Specimen Comment,Age Readability Code
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,6,Yelloweye rockfish,145,Random,Male,01,Spent,06,01,Tip of snout to fork of tail,610,4.08,26,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,7,Yelloweye rockfish,145,Random,Female,02,Ripe,05,01,Tip of snout to fork of tail,710,7.03,82,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,8,Yelloweye rockfish,145,Random,Female,02,Resting,07,01,Tip of snout to fork of tail,680,5.1,44,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,9,Yelloweye rockfish,145,Random,Female,02,Spent,06,01,Tip of snout to fork of tail,530,2.72,25,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,10,Yelloweye rockfish,145,Random,Male,01,Spent,06,01,Tip of snout to fork of tail,650,4.76,33,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,11,Yelloweye rockfish,145,Random,Male,01,Spent,06,01,Tip of snout to fork of tail,840,10.66,81,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,12,Yelloweye rockfish,145,Random,Male,01,Spent,06,01,Tip of snout to fork of tail,650,4.54,39,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,13,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,610,3.86,35,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,14,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,600,3.63,24,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,15,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,610,4.2,30,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,16,Yelloweye rockfish,145,Random,Transitional,03,,,01,Tip of snout to fork of tail,330,0.68,17,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,17,Yelloweye rockfish,145,Random,Female,02,Spent,06,01,Tip of snout to fork of tail,700,6.12,100,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,18,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,660,4.76,36,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,19,Yelloweye rockfish,145,Random,Male,01,Immature,01,01,Tip of snout to fork of tail,370,0.79,19,,Fairly Sure,03,,,,03
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,20,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,540,2.95,24,,Fairly Sure,03,,,,03
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,21,Yelloweye rockfish,145,Random,Female,02,Spent,06,01,Tip of snout to fork of tail,720,6.69,108,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,22,Yelloweye rockfish,145,Random,Female,02,Resting,07,01,Tip of snout to fork of tail,580,3.63,41,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,23,Yelloweye rockfish,145,Random,Female,02,Resting,07,01,Tip of snout to fork of tail,580,4.08,34,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,24,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,730,7.03,106,,Fairly Sure,03,,,,03
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,25,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,620,4.31,36,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,26,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,780,7.71,91,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,27,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,650,4.99,33,,Somewhat Unsure,04,,,,04
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,28,Yelloweye rockfish,145,Random,Female,02,Ripe,05,01,Tip of snout to fork of tail,610,4.31,50,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,29,Yelloweye rockfish,145,Random,Female,02,Ripe,05,01,Tip of snout to fork of tail,720,7.71,54,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,30,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,650,4.54,60,,Unsure,05,,,,05
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,1,,385800,72,31,Yelloweye rockfish,145,Random,,,,,,,,,,,,,,,,
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,4,,395800,,1,Yelloweye rockfish,145,Random,Female,02,Spent,06,01,Tip of snout to fork of tail,670,4.99,45,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,4,,395800,,2,Yelloweye rockfish,145,Random,Female,02,Resting,07,01,Tip of snout to fork of tail,570,3.63,30,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,4,,395800,,3,Yelloweye rockfish,145,Random,Female,02,Resting,07,01,Tip of snout to fork of tail,660,5.1,37,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,4,,395800,,4,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,700,5.67,66,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,4,,395800,,5,Yelloweye rockfish,145,Random,Male,01,resting,07,01,Tip of snout to fork of tail,740,7.03,89,,Comfortably Sure,02,,,,02
1993,605,Longline Survey,145,1,99999,IDA JUNE,,,,01,Vessel Conventional,,4,,395800,,6,Yelloweye rockfish,145,Random,Male,01,Spent,06,01,Tip of snout to fork of tail,620,4.2,48,,Comfortably Sure,02,,,,02
