"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"1","r",0.019,0.02,0.001,0.012,0.077,FALSE,1,1.012,939
"2","K",43584.381,14449.906,25225.099,40911.689,80312.402,FALSE,1,1.001,3000
"3","sigma",0.046,0.017,0.018,0.044,0.079,FALSE,1,1,2165
"4","epsilon[1]",0,0.04,-0.082,0,0.083,TRUE,0.497,1,3000
"5","epsilon[2]",0,0.041,-0.082,0,0.084,TRUE,0.505,1.001,3000
"6","epsilon[3]",0.001,0.04,-0.078,0.002,0.082,TRUE,0.514,1,3000
"7","epsilon[4]",0.001,0.04,-0.08,0.001,0.082,TRUE,0.513,1.001,1831
"8","epsilon[5]",0.001,0.04,-0.078,0.001,0.081,TRUE,0.506,1,3000
"9","epsilon[6]",0,0.04,-0.078,0,0.08,TRUE,0.502,1.001,3000
"10","epsilon[7]",0.001,0.04,-0.081,0,0.083,TRUE,0.499,1,3000
"11","epsilon[8]",0.001,0.04,-0.079,0.001,0.081,TRUE,0.518,1,3000
"12","epsilon[9]",0,0.04,-0.078,0.001,0.081,TRUE,0.512,1,3000
"13","epsilon[10]",0.001,0.04,-0.081,0.002,0.083,TRUE,0.52,1,3000
"14","epsilon[11]",0.001,0.04,-0.08,0.002,0.08,TRUE,0.521,1,3000
"15","epsilon[12]",0.001,0.04,-0.08,0.001,0.08,TRUE,0.51,1,3000
"16","epsilon[13]",0.001,0.04,-0.08,0.002,0.081,TRUE,0.517,1,3000
"17","epsilon[14]",0.002,0.04,-0.081,0.001,0.083,TRUE,0.515,1.001,1911
"18","epsilon[15]",0.001,0.039,-0.076,0.001,0.08,TRUE,0.515,1,2785
"19","epsilon[16]",0.002,0.039,-0.077,0.001,0.078,TRUE,0.517,1,2564
"20","epsilon[17]",0,0.039,-0.08,0,0.079,TRUE,0.499,1.001,1300
"21","epsilon[18]",0.001,0.04,-0.079,0.001,0.081,TRUE,0.509,1.001,3000
"22","epsilon[19]",0,0.04,-0.082,0,0.082,TRUE,0.501,1.001,2582
"23","epsilon[20]",0,0.04,-0.079,-0.001,0.083,TRUE,0.512,1,3000
"24","epsilon[21]",0.001,0.04,-0.079,0.001,0.081,TRUE,0.509,1,3000
"25","epsilon[22]",0,0.04,-0.08,0.001,0.082,TRUE,0.512,1.001,1685
"26","epsilon[23]",0.001,0.04,-0.08,0.001,0.083,TRUE,0.508,1.001,2101
"27","epsilon[24]",0.001,0.04,-0.079,0.002,0.081,TRUE,0.517,1,3000
"28","epsilon[25]",0.001,0.04,-0.084,0.002,0.082,TRUE,0.521,1,3000
"29","epsilon[26]",0.001,0.04,-0.079,0.001,0.083,TRUE,0.508,1.001,1308
"30","epsilon[27]",0.002,0.04,-0.08,0.001,0.082,TRUE,0.507,1,3000
"31","epsilon[28]",0,0.04,-0.08,-0.001,0.079,TRUE,0.508,1,3000
"32","epsilon[29]",0.002,0.04,-0.083,0.003,0.08,TRUE,0.531,1.001,1803
"33","epsilon[30]",0.001,0.041,-0.082,0.001,0.081,TRUE,0.508,1,3000
"34","epsilon[31]",0.001,0.039,-0.081,0.001,0.081,TRUE,0.511,1,3000
"35","epsilon[32]",0,0.04,-0.079,0.001,0.084,TRUE,0.494,1,2874
"36","epsilon[33]",0.002,0.041,-0.079,0.001,0.083,TRUE,0.514,1.001,1880
"37","epsilon[34]",0.001,0.04,-0.078,0.001,0.083,TRUE,0.509,1.002,878
"38","epsilon[35]",0,0.04,-0.08,0.002,0.078,TRUE,0.516,1.001,3000
"39","epsilon[36]",0,0.04,-0.081,-0.001,0.081,TRUE,0.508,1.001,2183
"40","epsilon[37]",0.001,0.04,-0.079,0,0.081,TRUE,0.505,1,3000
"41","epsilon[38]",0.002,0.04,-0.08,0.001,0.081,TRUE,0.513,1,3000
"42","epsilon[39]",0.002,0.04,-0.08,0.001,0.081,TRUE,0.515,1.001,1498
"43","epsilon[40]",0.002,0.04,-0.082,0.003,0.082,TRUE,0.532,1,3000
"44","epsilon[41]",0,0.039,-0.081,0,0.082,TRUE,0.5,1,2720
"45","epsilon[42]",0.002,0.04,-0.08,0.003,0.08,TRUE,0.533,1,2967
"46","epsilon[43]",0.002,0.04,-0.08,0.002,0.082,TRUE,0.511,1.001,1572
"47","epsilon[44]",0.002,0.04,-0.078,0.001,0.083,TRUE,0.51,1.001,1335
"48","epsilon[45]",0,0.04,-0.081,0,0.079,TRUE,0.504,1.004,547
"49","epsilon[46]",0.001,0.04,-0.08,0,0.078,TRUE,0.503,1,2450
"50","epsilon[47]",0,0.041,-0.083,0,0.081,TRUE,0.502,1,3000
"51","epsilon[48]",0.003,0.041,-0.081,0.002,0.084,TRUE,0.524,1.002,836
"52","epsilon[49]",0.001,0.041,-0.083,0.002,0.083,TRUE,0.518,1,3000
"53","epsilon[50]",0.001,0.04,-0.079,0.001,0.082,TRUE,0.513,1,3000
"54","epsilon[51]",0.002,0.041,-0.079,0.001,0.085,TRUE,0.511,1,3000
"55","epsilon[52]",0.002,0.04,-0.082,0.002,0.081,TRUE,0.526,1,3000
"56","epsilon[53]",0,0.04,-0.081,0,0.081,TRUE,0.5,1.001,1294
"57","epsilon[54]",0.001,0.04,-0.08,0.001,0.081,TRUE,0.508,1,3000
"58","epsilon[55]",0.002,0.04,-0.08,0.002,0.084,TRUE,0.523,1.001,2333
"59","epsilon[56]",0.001,0.04,-0.078,0.001,0.083,TRUE,0.519,1.002,1016
"60","epsilon[57]",0.002,0.041,-0.08,0.001,0.084,TRUE,0.517,1,3000
"61","epsilon[58]",0.001,0.04,-0.081,0.001,0.085,TRUE,0.506,1,3000
"62","epsilon[59]",0.001,0.04,-0.081,0.001,0.079,TRUE,0.509,1.001,1661
"63","epsilon[60]",0.001,0.04,-0.082,0.002,0.081,TRUE,0.52,1,3000
"64","epsilon[61]",0.001,0.04,-0.078,0.002,0.083,TRUE,0.518,1.001,2372
"65","epsilon[62]",0.001,0.04,-0.078,0.002,0.082,TRUE,0.52,1,3000
"66","epsilon[63]",0.002,0.04,-0.078,0.002,0.085,TRUE,0.519,1.001,2413
"67","epsilon[64]",0.001,0.04,-0.081,0.001,0.081,TRUE,0.512,1.001,1728
"68","epsilon[65]",0.002,0.04,-0.081,0.002,0.081,TRUE,0.524,1,3000
"69","epsilon[66]",0.001,0.04,-0.081,0.001,0.082,TRUE,0.511,1,3000
"70","epsilon[67]",0.002,0.04,-0.081,0.002,0.083,TRUE,0.523,1,3000
"71","epsilon[68]",0.002,0.041,-0.083,0.002,0.081,TRUE,0.521,1,3000
"72","epsilon[69]",0.001,0.04,-0.081,0.002,0.078,TRUE,0.517,1,3000
"73","epsilon[70]",0.001,0.04,-0.081,0.003,0.079,TRUE,0.524,1.003,1039
"74","epsilon[71]",0.002,0.04,-0.082,0.002,0.084,TRUE,0.52,1,3000
"75","epsilon[72]",0.003,0.04,-0.078,0.003,0.083,TRUE,0.533,1,3000
"76","epsilon[73]",0.002,0.04,-0.079,0.001,0.083,TRUE,0.515,1,3000
"77","epsilon[74]",0.001,0.04,-0.079,0,0.081,TRUE,0.503,1,3000
"78","epsilon[75]",0.002,0.041,-0.08,0.003,0.084,TRUE,0.527,1.002,888
"79","epsilon[76]",0.003,0.04,-0.078,0.002,0.082,TRUE,0.517,1,3000
"80","epsilon[77]",0.003,0.04,-0.079,0.003,0.084,TRUE,0.524,1.001,3000
"81","epsilon[78]",0.003,0.04,-0.078,0.003,0.082,TRUE,0.53,1,3000
