"","Full.Model.Code","Key.function","Formula","CvM_pvalue","P_a.hat","se.P_a.hat","Delta.AIC","Model"
"13","\texttt{YE.hr.Stage}","Hazard-rate","~Stage",0.717986195032342,0.813466682280606,0.0289222571968978,0,"YE.hr.Stage"
"8","\texttt{YE.hr}","Hazard-rate","~1",0.549572824660788,0.844312206476432,0.0277027610577832,7.14108165198303,"YE.hr"
"6","\texttt{YE.hn.Stage}","Half-normal","~Stage",0.207175505571732,0.68897675843166,0.0539925866340662,7.459875687026,"YE.hn.Stage"
"17","\texttt{YE.unif.poly}","Uniform with simple polynomial adjustment term of order 2",NA,0.246776160368256,0.717123597147755,0.0312186495662681,9.213447549438,"YE.unif.poly"
"15","\texttt{YE.unif.cos}","Uniform with cosine adjustment terms of order 1,2,3",NA,0.500705944295882,0.720806210352546,0.0974046775830314,9.35805064679903,"YE.unif.cos"
"7","\texttt{YE.hn.Depth.Stage}","Half-normal","~Depth + Stage",0.206485451204809,0.688955797306611,0.053987915461467,9.45942711119898,"YE.hn.Depth.Stage"
"4","\texttt{YE.hn.poly}","Half-normal with simple polynomial adjustment terms of order 4,6","~1",0.550072648453753,0.775364206376276,0.0816793400379353,11.412407479385,"YE.hn.poly"
"16","\texttt{YE.unif.herm}","Uniform with Hermite polynomial adjustment terms of order 2,4",NA,0.241451693132941,0.71494690458282,0.0562246374684156,11.503738359688,"YE.unif.herm"
"3","\texttt{YE.hn.herm}","Half-normal with Hermite polynomial adjustment term of order 4","~1",0.388983452139501,0.756995355886732,0.087189896099228,11.71651561201,"YE.hn.herm"
"1","\texttt{YE.hn}","Half-normal","~1",0.264967431232671,0.708134345883757,0.0529359223045097,12.724220222072,"YE.hn"
"5","\texttt{YE.hn.Depth}","Half-normal","~Depth",0.253992020942668,0.70723239234261,0.0529209941522025,14.29081653418,"YE.hn.Depth"
"12","\texttt{YE.hr.Depth}","Hazard-rate","~Depth",7.48420094421887e-05,0.999916301483293,0.0727331954422098,37.263087717762,"YE.hr.Depth"
"14","\texttt{YE.hr.Depth.Stage}","Hazard-rate","~Depth + Stage",7.48509102872497e-05,0.999916431737048,0.0519866469553475,39.263136957864,"YE.hr.Depth.Stage"
