Sex,year,n,proportion,Source
Female,1984,3,0,fishery
Female,1985,38,0,fishery
Female,1987,22,0,fishery
Female,1988,92,0,fishery
Female,1989,24,0,fishery
Female,1992,62,0,fishery
Female,1993,14,0,fishery
Female,1994,53,0,fishery
Female,1995,405,0.01,fishery
Female,1996,632,0.02,fishery
Female,1997,649,0.02,fishery
Female,1998,386,0.01,fishery
Female,1999,589,0.02,fishery
Female,2000,557,0.02,fishery
Female,2001,583,0.02,fishery
Female,2002,518,0.02,fishery
Female,2003,355,0.01,fishery
Female,2004,684,0.02,fishery
Female,2005,174,0.01,fishery
Female,2008,626,0.02,fishery
Female,2009,694,0.02,fishery
Female,2010,589,0.02,fishery
Female,2011,613,0.02,fishery
Female,2012,831,0.03,fishery
Female,2013,951,0.03,fishery
Female,2014,577,0.02,fishery
Female,2015,545,0.02,fishery
Female,2016,814,0.03,fishery
Female,2017,712,0.02,fishery
Female,2018,830,0.03,fishery
Female,2019,568,0.02,fishery
Female,2020,75,0,fishery
Female,2021,296,0.01,fishery
Female,2022,175,0.01,fishery
Female,2023,139,0,fishery
Female,2024,174,0.01,fishery
